INFO 2023-04-25 12:12:03,531 Watching for file changes with StatReloader
INFO 2023-04-25 12:12:07,136 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:12:07,292 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:12:07,616 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:12:07,625 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:12:07,634 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:12:07,638 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:12:07,642 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:12:07,647 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:12:07,648 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:12:07,653 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:12:07,654 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:12:07,658 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:12:07,660 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:12:07,667 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:12:17,932 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
WARNING 2023-04-25 12:12:17,941 Not Found: /favicon.ico
WARNING 2023-04-25 12:12:17,942 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 12:12:17,985 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 12:12:36,638 "POST /accounts/login/ HTTP/1.1" 200 4114
WARNING 2023-04-25 12:12:36,901 Not Found: /favicon.ico
INFO 2023-04-25 12:13:07,715 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:13:07,740 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:13:07,871 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:13:07,893 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:13:07,985 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:17:50,870 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:17:50,885 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:17:50,958 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:17:50,962 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:17:50,969 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:17:50,972 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:17:50,972 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:17:50,981 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:17:50,982 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:17:50,982 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:17:50,984 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:17:50,986 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:17:50,991 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:17:50,994 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:18:20,864 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:18:20,897 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 12:23:11,819 Watching for file changes with StatReloader
INFO 2023-04-25 12:23:18,202 Watching for file changes with StatReloader
